""	"q44"
"225"	"not really to be honest"
"226"	"No"
"227"	"Freshest is best"
"228"	"nothing except i like them breaded mostly"
"229"	"nope"
"230"	"I prefer a pink color!!"
"231"	"no"
"232"	"I've always loved shrimp, luckily I married another shrimp lover.  Sometimes that's all we have for dinner.....just boiled shrimp with homemade cocktail sauce, on lettuce."
"233"	"I like when my shrimp smells fresh."
"234"	"i like shrimp 
"
"235"	"No"
"236"	"N/A"
"237"	"none"
"238"	"no"
"239"	"shrimp dripping with butter"
"240"	"no"
"241"	"no"
"242"	"no"
"243"	"no"
"244"	"Nothing that I can think of."
"245"	"no"
"246"	"nothing"
"247"	"nothing"
"248"	"no"
"249"	"If they are not breaded I like them to be peppered with paprika."
"250"	"NOTHING"
"251"	"no"
"252"	"I like to eat cocktail shrimp the most and do not like the taste of butter on shrimp"
"253"	"Can you send me some shrimp? I'm hungry, now."
"254"	"no"
"255"	"I like the top to appear more clearly intact without signs of coming apart -- or degrading."
"256"	"none"
"257"	"no"
"258"	"NO"
"259"	"no"
"260"	"no"
"261"	"fresher shrimp has a better taste."
"262"	"No"
"263"	"I JUST LOVE THEM ESPEIALLY THE NEW WAY PEOPLE ARE PUTTING THEM ON MICHELADAS AND STUFF MMMMM"
"264"	"size and color of shrimp"
"265"	"NO"
"266"	"I prefer fresh gulf shrimp because I lived in Houston for 15 years"
"267"	"no"
"268"	"no"
"269"	"no"
"270"	"Na"
"271"	"I prefer if the shrimp was wild caught."
"272"	"like it fresh"
"273"	"no"
"274"	"I like it to be wild caught not farm raised"
"275"	"I look only for De veined.  I know how to De  vein but I'd rather not do it because it's gross."
"276"	"No"
"277"	"no"
"278"	"nothing"
"279"	"nope"
"280"	"N/A"
"281"	"no heads"
"282"	"They must be de veined before i will eat them"
"283"	"No"
"284"	"n/a"
"285"	"no"
"286"	"bring the prices down"
"287"	"Not really."
"288"	"good for me and my people"
"289"	"Not really"
"290"	"I like cajun"
"291"	"No"
"292"	"no"
"293"	"no"
"294"	"No"
"295"	"No"
"296"	"nothing"
"297"	"wild caught is preferred"
"298"	"So good shrimp"
"299"	"very likely"
"300"	"Nothing, except that shrimp diced and mixed in with Albacore Tuna mixed with a little Organic Mayonnaise makes for a wonderful sandwich."
"301"	"none"
"302"	"no"
"303"	"No"
"304"	"Like shrimp"
"305"	"rt67yu8i9o"
"306"	"like very like"
"307"	"I love shrimp! I usually have it at restaurants because I don't like cleaning them"
"308"	"I like them clear looking...Or light pink"
"309"	"no"
"310"	"no"
"311"	"no, don't think so"
"312"	"No"
"313"	"no"
"314"	"nothing else to add"
"315"	"none"
"316"	"i like them with butter and garlic"
"317"	"I enjoy catching shrimp"
"318"	"no"
"319"	"no"
"320"	"No"
"321"	"no"
"322"	"i like them to firm when they are fresh"
"323"	"no"
"324"	"LIKE"
"325"	"no"
"326"	"No"
"327"	"dont know"
"328"	"nothing"
"329"	"No"
"330"	"reduce price"
"331"	"god is awesome"
"332"	"no"
"333"	"solid not soft"
"334"	"I prefer my shrimp to be deveined."
"335"	"I enjoy cooking the shrimp on the grill."
"336"	"I like very large shimp sometimes known as prawns"
"337"	"No"
"338"	"The main reason why I eat shrimp rarely is because, the tails are not being properly cut or distinguish from its body- particularly the ones that are battered. Sometimes that is best done cooking for my self."
"339"	"No"
"340"	"None"
"341"	"I like the pre cooks shrimp so I have options on how I want to use them in my meal"
"342"	"no"
"343"	"Nope"
"344"	"nothing really"
"345"	"."
"346"	"no"
"347"	"prefer either shrimp caught in local waterways or Gulf of Mexico off Texas or Louisiana coast (fresh not frozen)"
"348"	"I know there are differences.  That's okay.  I like big, plump looking shrimp.
"
"349"	"no"
"350"	"like jumbo shrimp that look fresh"
"351"	"No"
"352"	"the flavor of shrimp varies depending on where it came from"
"353"	"No"
"354"	"no"
"355"	"no"
"356"	"No but thanks for asking"
"357"	"I like big shrimps"
"358"	"Great tasting, big shrimp"
"359"	"no"
"360"	"Nothing I can think of."
"361"	"neither one but i'm on my laptop"
"362"	"no"
"363"	"No, thank you."
"364"	"No, I just like to eat shrimp at parties."
"365"	"nothing"
"366"	"The most important thing about shrimp is that they don't taste fishy.  Good shrimp don't."
"367"	"no"
"368"	"no"
"369"	"Nothing to say"
"370"	"Not really, but I wish I knew exactly what shrimp did eat."
"371"	"No, thank you."
"372"	"n/a"
"373"	"Nope"
"374"	"The smell"
"375"	"None"
"376"	"no nothing"
"377"	"no"
"378"	"At our store the raw red shrimp are usually what they have at a good price, The grey ones not so much"
"379"	"no"
"380"	"I think you have covered the topic very well."
"381"	"Nothing at this time."
"382"	"No, just that I love to eat shrimp when I want it.."
"383"	"I liked shrimp that has already been cleaned."
"384"	"Give me more"
"385"	"no"
"386"	"No"
"387"	"ALWAYS KEPT FRESH"
"388"	"nope"
"389"	"nope"
"390"	"nothing"
"391"	"Yaste"
"392"	"no"
"393"	"Nothing really."
"394"	"All seafood should be farm raised"
"395"	"no"
"396"	"If fresh I always ask how fresh they are."
"397"	"Nothing at this time."
"398"	"Lived close to where shrimp boats came in at one time in my life. Never thought about anything but eating the shrimp right off the boat.It is rally a lot more complicated now."
"399"	"I am really not fond of farm raised shrimp, it tastes like wet cardboard and even worse is the frozen shrimp on the market  (farm raised in Vietnam) which is still highly contaminated with Agent Orange etc.  I would possibly eat farm raised shrimp if it tasted like shrimp and I knew it wasn't being fed something GMO"
"400"	"i love eating them"
"401"	"think i would mess up the preparation"
"402"	"kll;;.\';\'"
"403"	"i just love shrimp!"
"404"	"No."
"405"	"no"
"406"	"No."
"407"	"nothing"
"408"	"no"
"409"	"I really do like to know where it was source, the company behind it, the exact date of freshness, and the overall quality of the shrimp."
"410"	"none"
"411"	"none"
"412"	"no"
"413"	"I only like breaded/battered shrimp."
"414"	"I just love seafood"
"415"	"I prefer buying shrimp that have shells and tails intact, so I can prepare them a number of ways.  I am not familiar with what to do with shrimp with the head intact, but where I shop I don't see them offered this way. I always keep some large frozen shrimp on hand for shrimp cocktail."
"416"	"not at this time"
"417"	"alive still kicking."
"418"	"love it period"
"419"	"no"
"420"	"Nothing."
"421"	"Not at this time. 
"
"422"	"no"
"423"	"none"
"424"	"NA"
"425"	"no"
"426"	"dfdfg dfgdfgdf"
"427"	"No love it!!!  But cant real;y afford shrimp  all the time."
"428"	"Good product"
"429"	"no"
"430"	"no"
"431"	"notihng"
"432"	"we just don't cook at home, so we wouldn't do so with shrimp."
"433"	"not really"
"434"	"package size"
"435"	"I quit eating shrimp for a lot of years because it tasted bad to me. These were farm raised shrimp. When I discovered wild caught shrimp I fell in love with it again. I live inland and getting wild caught shrimp that is affordable is not easy. Now I buy wild caught shrimp from Argentina when available and when it's on sale. Otherwise I cannot afford it.
I hope farm raised shrimp is getting better and being raised in healthy environments."
"436"	"I like steamed shrimp"
"437"	"no"
"438"	"I love to make shrimp jumbo and its been years since I prepared and cooked it thanks for the idea"
"439"	"no I love shrimp"
"440"	"I like shrimp as fresh as possible"
"441"	"none"
"442"	"no"
"443"	"I choose the fresher looking shrimp."
"444"	"Fresh and clean is important."
"445"	"None"
"446"	"none"
"447"	"nope"
"448"	"no"
"449"	"no"
"450"	"no"
"451"	"no"
"452"	"no nothing else"
"453"	"I also like not to find the black line in my shrimp"
"454"	"As long as the shrimp are free of disease or food born illnesses i will eat them"
"455"	"Definitely only buy wild caught, not farm raised."
"456"	"just like em big"
"457"	"no"
"458"	"no"
"459"	"Not really"
"460"	"no"
"461"	"none"
"462"	"is good"
"463"	"no"
"464"	"n/a"
"465"	"nope"
"466"	"nothing to add"
"467"	"nothing else"
"468"	"no"
"469"	"not that I can think of"
"470"	"none"
"471"	"No comment"
"472"	"No"
"473"	"I love shrimp"
"474"	"all of it"
"475"	"all i see you i like"
"476"	"one"
"477"	"no"
"478"	"no"
"479"	"none"
"480"	"I love it when I eat it at restaurants"
"481"	"I want some now"
"482"	"Not really"
"483"	"I LIKE VERY MUCH"
"484"	"italian style breaded is also great"
"485"	"No"
"486"	"none"
"487"	"NO"
"488"	"gdfgd gdfg dfg hfgh"
"489"	"no"
"490"	"noting at all"
"491"	"No"
"492"	"no"
"493"	"no"
"494"	"I'm very picky about my shrimp.  I'm a southern girl, raised on lots of fresh seafood."
"495"	"sometimes the texture freaks me out"
"496"	"none"
"497"	"Big and no shell"
"498"	"no"
"499"	"I wish my family liked it more, I'd eat it everyday!!"
"500"	"None"
"501"	"LIKE"
"502"	"No"
"503"	"Just that they are cleaned properly also."
"504"	"none"
"505"	"I love shrimp fried and cooked in butter and garlic on my stove. That is what I do at home. At the restaurants I order a variety of cooked shrimp."
"506"	"thanks"
"507"	"no"
"508"	"good"
"509"	"prefer ocean to farm-raised, like fish"
"510"	"dont know"
"511"	"nothing"
"512"	"no"
"513"	"No"
"514"	"nothing
"
"515"	"Fried is my favorite"
"516"	"no"
"517"	"none"
"518"	"No"
"519"	"love it all"
"520"	"I find indonesian imported shrimp to be commonly found here but I am concerned given how polluted the waters are there."
